1115	6
884	6
592	5
803	6
1315	4
648	8
1420	5
1117	8
229	5
1454	6
609	6
1078	8
856	6
447	5
637	8
350	1
535	6
831	5
965	7
714	7
1424	6
1283	6
818	7
386	4
168	3
1258	5
907	8
1083	7
1473	6
1096	7
884	6
299	6
718	6
1080	6
256	5
50	5
1007	9
637	8
1078	8
38	5
816	7
787	7
969	7
519	5
1303	4
535	6
402	4
573	6
178	4
1385	5
918	7
337	7
202	4
974	6
115	4
403	5
1027	9
637	8
1227	3
1288	4
1200	6
493	5
139	4
551	4
374	5
1006	8
1433	5
1320	6
425	5
620	4
364	6
731	4
556	6
17	8
593	6
534	5
1260	3
408	6
633	7
1334	6
1390	5
1198	7
177	5
1252	7
1328	5
371	2
888	7
296	6
1150	4
856	6
1368	5
1095	6
302	5
1406	5
232	5
1423	7
829	9
1223	8
792	5
1110	7
