1115	6
884	9
592	12
803	6
1315	4
648	12
1420	8
1117	8
229	11
1454	12
609	9
1078	11
856	6
447	9
637	12
350	1
535	9
831	5
965	7
714	7
1424	12
1283	6
818	12
386	4
168	3
1258	5
907	11
1083	7
1473	9
1096	7
884	9
299	12
718	11
1080	13
256	5
50	8
1007	12
637	12
1078	11
38	5
816	10
787	11
969	7
519	5
1303	10
535	9
402	11
573	6
178	10
1385	9
918	13
337	7
202	4
974	9
115	7
403	12
1027	12
637	12
1227	3
1288	11
1200	12
493	12
139	7
551	4
374	5
1006	11
1433	11
1320	7
425	7
620	4
364	6
731	4
556	9
17	8
593	13
534	8
1260	3
408	6
633	8
1334	11
1390	5
1198	10
177	9
1252	8
1328	5
371	2
888	13
296	9
1150	4
856	6
1368	12
1095	6
302	5
1406	5
232	5
1423	11
829	12
1223	8
792	5
1110	10
